wkt,address_street,lat_geocoded,lon_geocoded,scientific_name,common_name,fruit_period,tree_id
POINT (-122.385890382377667 37.744471037966619),1570 Burke Ave,37.744775,-122.38567,Ceratonia siliqua,Carob,"""summer",93565
POINT (-122.385893715711006 37.744471143351319),1570 Burke Ave,37.744775,-122.38567,Ceratonia siliqua,Carob,"""summer",93566
POINT (-122.385897049044345 37.744471248736019),1570 Burke Ave,37.744775,-122.38567,Ceratonia siliqua,Carob,"""summer",93567
POINT (-122.38590038237767 37.744471354120726),1570 Burke Ave,37.744775,-122.38567,Ceratonia siliqua,Carob,"""summer",93568
POINT (-122.385903715711009 37.744471459505426),1570 Burke Ave,37.744775,-122.38567,Ceratonia siliqua,Carob,"""summer",93569
POINT (-122.386748583867018 37.744741792651588),1575 Burke Ave,37.744109,-122.386647,Ceratonia siliqua,Carob,"""summer",93571
POINT (-122.386744833867013 37.744741659274077),1575 Burke Ave,37.744109,-122.386647,Ceratonia siliqua,Carob,"""summer",93572
POINT (-122.386741083867022 37.744741525896565),1575 Burke Ave,37.744109,-122.386647,Ceratonia siliqua,Carob,"""summer",93573
POINT (-122.386737333867018 37.744741392519046),1575 Burke Ave,37.744109,-122.386647,Ceratonia siliqua,Carob,"""summer",93574
POINT (-122.386722333867013 37.744740859008992),1575 Burke Ave,37.744109,-122.386647,Ceratonia siliqua,Carob,"""summer",93578
POINT (-122.386718583867022 37.74474072563148),1575 Burke Ave,37.744109,-122.386647,Ceratonia siliqua,Carob,"""summer",93579
POINT (-122.385877049044339 37.744470616427812),1580 Burke Ave,37.744775,-122.38567,Ceratonia siliqua,Carob,"""summer",93580
POINT (-122.385877049044339 37.744470616427812),1580 Burke Ave,37.744775,-122.38567,Ceratonia siliqua,Carob,"""summer",93581
POINT (-122.386819399999993 37.744900100000002),1590 Burke Ave,37.7449001,-122.3868194,Ceratonia siliqua,Carob,"""summer",93582
POINT (-122.386829399999996 37.744901048462317),1590 Burke Ave,37.7449001,-122.3868194,Ceratonia siliqua,Carob,"""summer",93583
POINT (-122.386849399999988 37.744902945386954),1590 Burke Ave,37.7449001,-122.3868194,Ceratonia siliqua,Carob,"""summer",93584
POINT (-122.458810331149323 37.775507885117399),1 Cabrillo Street,37.775386,-122.458802,Ceratonia siliqua,Carob,"""summer",93782
POINT (-122.386270789473684 37.745772042152311),99 Cargo Way,37.7457721,-122.386295,Ceratonia siliqua,Carob,"""summer",94519
POINT (-122.436597757527935 37.734526370560665),56 Chilton Avenue,37.734552,-122.436779,Ceratonia siliqua,Carob,"""summer",95426
POINT (-122.383883299999994 37.7423682),195 Newhall St,37.7423682,-122.3838833,Ceratonia siliqua,Carob,"""summer",95949
POINT (-122.383882879644418 37.74236605714286),195 Newhall St,37.7423682,-122.3838833,Ceratonia siliqua,Carob,"""summer",95950
POINT (-122.383883299999994 37.7423682),195 Newhall St,37.7423682,-122.3838833,Ceratonia siliqua,Carob,"""summer",95951
POINT (-122.38388203893328 37.74236177142857),200-256 Mendell Street,37.7423682,-122.3838833,Ceratonia siliqua,Carob,"""summer",95952
POINT (-122.383883299999994 37.7423682),195 Newhall St,37.7423682,-122.3838833,Ceratonia siliqua,Carob,"""summer",95953
POINT (-122.383883299999994 37.7423682),195 Newhall St,37.7423682,-122.3838833,Ceratonia siliqua,Carob,"""summer",95954
POINT (-122.383883299999994 37.7423682),195 Newhall St,37.7423682,-122.3838833,Ceratonia siliqua,Carob,"""summer",95955
POINT (-122.383883299999994 37.7423682),195 Newhall St,37.7423682,-122.3838833,Ceratonia siliqua,Carob,"""summer",95956
POINT (-122.383883299999994 37.7423682),195 Newhall St,37.7423682,-122.3838833,Ceratonia siliqua,Carob,"""summer",95957
POINT (-122.383879096444289 37.742346771428572),200-256 Mendell Street,37.7423682,-122.3838833,Ceratonia siliqua,Carob,"""summer",95959
POINT (-122.383883299999994 37.7423682),195 Newhall St,37.7423682,-122.3838833,Ceratonia siliqua,Carob,"""summer",95960
POINT (-122.383883299999994 37.7423682),195 Newhall St,37.7423682,-122.3838833,Ceratonia siliqua,Carob,"""summer",95962
POINT (-122.383883299999994 37.7423682),195 Newhall St,37.7423682,-122.3838833,Ceratonia siliqua,Carob,"""summer",95963
POINT (-122.434381078209881 37.736365665543467),2629 Diamond St,37.73642,-122.43418,Ceratonia siliqua,Carob,"""summer",96139
POINT (-122.426251558431446 37.764316299999997),303 Dolores Street,37.7643263,-122.4262514,Ceratonia siliqua,Carob,"""summer",96420
POINT (-122.425998699999994 37.7614369),3692 18th Street,37.7614369,-122.4259987,Ceratonia siliqua,Carob,"""summer",96468
POINT (-122.425980164417254 37.759403766666665),600 Dolores St,37.7593971,-122.4259802,Ceratonia siliqua,Carob,"""summer",96499
POINT (-122.425591556789641 37.758361019093321),695 Dolores St,37.758372,-122.425433,Ceratonia siliqua,Carob,"""summer",96515
POINT (-122.425334353535831 37.755665161230866),865 Dolores St,37.755681,-122.425111,Ceratonia siliqua,Carob,"""summer",96559
POINT (-122.425380799999999 37.7551221),879,37.7551221,-122.4253808,Ceratonia siliqua,Carob,"""summer",96565
POINT (-122.424599392745165 37.748038247278636),1349 Dolores St,37.748043,-122.424536,Ceratonia siliqua,Carob,"""summer",96694
POINT (-122.387100176064664 37.741313714285717),495 Newhall St,37.741318,-122.3870999,Ceratonia siliqua,Carob,"""summer",97680
POINT (-122.387100452129332 37.741309428571427),495 Newhall St,37.741318,-122.3870999,Ceratonia siliqua,Carob,"""summer",97681
POINT (-122.387100728194 37.741305142857144),495 Newhall St,37.741318,-122.3870999,Ceratonia siliqua,Carob,"""summer",97682
POINT (-122.387101004258668 37.741300857142853),495 Newhall St,37.741318,-122.3870999,Ceratonia siliqua,Carob,"""summer",97683
POINT (-122.387101280323336 37.74129657142857),495 Newhall St,37.741318,-122.3870999,Ceratonia siliqua,Carob,"""summer",97684
POINT (-122.387101556388004 37.741292285714287),495 Newhall St,37.741318,-122.3870999,Ceratonia siliqua,Carob,"""summer",97685
